,,,,,,,
,IDCliente,Cantidad Morosos,,Cantidad Datos Recibidos,,,
,,Enviada,Recibida,Teléfonos,Mails,,
,HSBC_2019,23022,1983,2986,332,,
,AMEX,14643,49,38,2,,
,BSR_TARDIA,10292,687,912,197,,
,FRANCES_2012,7695,591,175,285,,
,FRAVEGA_LEGALES548,887,80,103,16,,
,HSBC_LEGALES14,820,270,89,18,,
,COTO10_TARD,365,20,24,1,,
,COTO05_TARD,254,21,19,1,,
,COTO23_TARD,238,15,20,3,,
,COTO15_TARD,178,6,6,0,,
,HSBC_LEGALES_TEMP,144,97,7,1,,
,BBVA_LEGALES_PREJU,127,37,8,21,,
,Total,58665,3856,4387,877,,
,Porcentaje (%),100,6.6,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,IDCliente,Cantidad Datos Recibidos,,,,,
,,Teléfonos Existentes,Teléfonos Nuevos,Mails Existentes,Mails Nuevos,Mails Totales,Teléfonos Totales
,HSBC_2019,235,2751,91,241,332,2986
,AMEX,1,37,0,2,2,38
,BSR_TARDIA,228,684,94,103,197,912
,FRANCES_2012,34,141,257,28,285,175
,FRAVEGA_LEGALES548,32,71,2,14,16,103
,HSBC_LEGALES14,19,70,2,16,18,89
,COTO10_TARD,11,13,0,1,1,24
,COTO05_TARD,3,16,0,1,1,19
,COTO23_TARD,3,17,0,3,3,20
,COTO15_TARD,0,6,0,0,0,6
,HSBC_LEGALES_TEMP,0,7,0,1,1,7
,BBVA_LEGALES_PREJU,5,3,21,0,21,8
,Subtotal,571,3816,467,410,877,4387
,Porcentaje (%),13.0,87.0,53.2,46.8,,
,Total,4387,,877,,,
